Story Date,Story URL,Headline,Content Image-1
20th Sep 2018,https://www.vishvasnews.com/politics/%e0%a4%aa%e0%a5%82%e0%a4%b0%e0%a4%be-%e0%a4%b8%e0%a4%9a-%e0%a4%95%e0%a5%8d%e2%80%8d%e0%a4%af%e0%a4%be-%e0%a4%b5%e0%a4%be%e0%a4%95%e0%a4%88-%e0%a4%95%e0%a5%88%e0%a4%b2%e0%a4%be%e0%a4%b6-%e0%a4%95/,पूरा सच : क्‍या वाकई कैलाश के अनुभव पर ब्‍लैंक हो गए थे राहुल? क्‍या वाकई लगे थे मोदी जिंदाबाद के नारे?,
10th Sep 2018,https://www.vishvasnews.com/politics/%e0%a4%aa%e0%a5%82%e0%a4%b0%e0%a4%be-%e0%a4%b8%e0%a4%9a-%e0%a4%95%e0%a5%8d%e2%80%8d%e0%a4%af%e0%a4%be-%e0%a4%b5%e0%a4%be%e0%a4%95%e0%a4%88-%e0%a4%b6%e0%a4%bf%e0%a4%b5%e0%a4%b0%e0%a4%be%e0%a4%9c/,पूरा सच : क्‍या वाकई शिवराज सिंह के खिलाफ SC/ST Act में FIR करवाई गई है?,
12th Sep 2018,https://www.vishvasnews.com/politics/%e0%a4%aa%e0%a5%82%e0%a4%b0%e0%a4%be-%e0%a4%b8%e0%a4%9a%e0%a4%83-%e0%a4%b0%e0%a4%95%e0%a5%8d%e0%a4%b7%e0%a4%be-%e0%a4%ae%e0%a4%82%e0%a4%a4%e0%a5%8d%e0%a4%b0%e0%a5%80-%e0%a4%a8%e0%a5%87-%e0%a4%a8/,पूरा सचः रक्षा मंत्री ने नहीं उठाए राहुल गांधी की मानसरोवर यात्रा पर सवाल,
15th Nov 2018,https://www.vishvasnews.com/politics/poora-sach-did-modi-make-a-kid-say-rahul-gandhi-pappu-hai/,"पूरा सच : पीएम मोदी ने बच्‍ची से नहीं कहा, ‘राहुल गांधी पप्‍पू है’",
28th Jun 2019,https://www.vishvasnews.com/society/10-months-old-video-falsely-shared-as-jharkhand-lynching-victims-funeral/,Fact Check : झारखंड के तबरेज अंसारी के जनाजे के नाम पर वायरल हो रहा है 10 महीने पुराना वीडियो,https://www.vishvasnews.com/wp-content/uploads/2019/06/Untitled-11-8.jpg
27th Jun 2019,https://www.vishvasnews.com/world/fact-check-obama-does-not-have-his-own-house/,"Fact Check : ओबामा 2017 में खरीद चुके हैं 8.1 मिलियन डॉलर का घर, वायरल पोस्‍ट फर्जी है",https://www.vishvasnews.com/wp-content/uploads/2019/06/Untitled-2-6.jpg
26th Jun 2019,https://www.vishvasnews.com/politics/fact-check-the-up-police-did-not-beati-woman-viral-video-is-in-2016/,"Fact Check : यूपी पुलिस ने नहीं, दंबगों ने की थी महिला की पिटाई, वायरल वीडियो 2016 का है",https://www.vishvasnews.com/wp-content/uploads/2019/06/Woman1-2.jpg
26th Jun 2019,https://www.vishvasnews.com/society/fact-check-no-communalism-in-lucknows-viral-video-both-accused-and-victim-belongs-to-the-same-community/,"Fact Check : लखनऊ के वायरल वीडियो में कोई सांप्रदायिक रंग नहीं, पीड़ित और आरोपी सभी एक ही समुदाय के",https://www.vishvasnews.com/wp-content/uploads/2019/06/Untitled-7-5.jpg
25th Jun 2019,https://www.vishvasnews.com/society/fact-check-rohingya-old-photo-viral/,Fact Check : रोहिंग्‍या शरणार्थी की पुरानी तस्‍वीर फर्जी दावे के साथ हुई वायरल,https://www.vishvasnews.com/wp-content/uploads/2019/06/Untitled-3-4.jpg
24th Jun 2019,https://www.vishvasnews.com/politics/fact-check-man-appearing-in-a-viral-post-are-not-lok-sabha-speakers/,Fact Check : वायरल पोस्‍ट में दिख रहे शख्‍स लोकसभा अध्‍यक्ष नहीं हैं,https://www.vishvasnews.com/wp-content/uploads/2019/06/19birla-ls1-2.jpg
24th Jun 2019,https://www.vishvasnews.com/society/fact-check-ips-ajay-pal-sharma-did-not-involve-in-encounter/,Fact Check : रामपुर में दुष्‍कर्म और हत्या के आरोपी को IPS ने नहीं मारी थी गोली,https://www.vishvasnews.com/wp-content/uploads/2019/06/Ajay-Sharma-Jagran.png
21st Jun 2019,https://www.vishvasnews.com/viral/fact-check-old-video-of-moti-nagar-delhi-viral-now/,Fact Check : दिल्‍ली में उत्‍पात का एक साल पुराना वीडियो हुआ वायरल,https://www.vishvasnews.com/wp-content/uploads/2019/06/image-110-1.png
21st Jun 2019,https://www.vishvasnews.com/society/fact-check-people-in-viral-posts-are-tv-actors-not-from-hindu-vahini-organisation/,"Fact Check : वायरल पोस्‍ट में दिख रहे लोग किसी संगठन के नहीं, बल्कि TV कलाकार हैं",https://www.vishvasnews.com/wp-content/uploads/2019/06/Untitled-8-5.jpg
20th Jun 2019,https://www.vishvasnews.com/society/karnal-old-video-viral-again-after-delhi-incident/,Fact Check : 2017 में ट्रक ड्राइवर को पीटने का हरियाणा का वीडियो अब हो रहा है वायरल,https://www.vishvasnews.com/wp-content/uploads/2019/06/Karnal3.jpg
19th Jun 2019,https://www.vishvasnews.com/society/fact-check-shashi-tharoor-old-image-viral-now/,Fact Check : शशि थरूर की 15 महीने पुरानी तस्‍वीर गलत संदर्भ के साथ हुई वायरल,https://www.vishvasnews.com/wp-content/uploads/2019/06/ST.jpg
19th Jun 2019,https://www.vishvasnews.com/society/fact-check-fake-photo-viral-name-of-pakistan-and-virat-kohli/,Fact Check : विराट कोहली के नाम पर वायरल हो रही है फर्जी पोस्‍ट,https://www.vishvasnews.com/wp-content/uploads/2019/06/VK1.jpg
18th Jun 2019,https://www.vishvasnews.com/politics/fact-check-fake-post-viral-name-of-the-chandrashekhar-azad/,Fact Check : दलित नेता चंद्रशेखर रावण को मुस्लिम बताने वाली वायरल पोस्‍ट फर्जी है,https://www.vishvasnews.com/wp-content/uploads/2019/06/ravan.jpg
18th Jun 2019,https://www.vishvasnews.com/politics/fact-check-viral-number-is-not-from-yogi-adityanath/,"Fact Check : वायरल नंबर योगी आदित्‍यनाथ का नहीं, GRP का हेल्‍पलाइन WhatsApp नंबर है",https://www.vishvasnews.com/wp-content/uploads/2019/06/GRP1-2-1024x622.jpg
17th Jun 2019,https://www.vishvasnews.com/politics/fake-post-of-varanasi-inspector-viral/,Fact Check : वाराणसी में इंस्‍पेक्‍टर की पिटाई करने वाले भाजपा कार्यकर्ता नहीं थे,https://www.vishvasnews.com/wp-content/uploads/2019/06/BSB2-1.jpg
17th Jun 2019,https://www.vishvasnews.com/society/fake-message-viral-name-of-indian-oil/,Fact Check : इंडियन ऑयल के नाम पर वायरल हो रही है फर्जी चेतावनी,https://www.vishvasnews.com/wp-content/uploads/2019/06/Untitled-2.jpg
7th Jun 2019,https://www.vishvasnews.com/politics/fact-check-did-prime-minister-narendra-modi-wear-a-bohra-cap-in-indore/,"Fact Check : पीएम मोदी ने नहीं पहनी थी टोपी, वायरल तस्‍वीर फोटोशॉप्‍ड है",https://www.vishvasnews.com/wp-content/uploads/2019/06/Modi1-1.jpg
7th Jun 2019,https://www.vishvasnews.com/politics/old-photo-of-pratap-chandra-sarangi-is-going-viral-he-does-not-own-any-helicopter/,"Fact Check : वायरल हो रही है प्रताप चंद्र सारंगी की पुरानी तस्‍वीर, नहीं है उनके पास कोई हेलिकॉप्‍टर",https://www.vishvasnews.com/wp-content/uploads/2019/06/Sarangi-1-1.jpg
